Ad,Başrol,Bölüm sayısı,Durumu,Format,Gösterim süresi,Kanal,Senarist,Sezon sayısı,Tür,Yapım şirketi,Yapımcı,Yayın tarihi,Yönetmen,Ülke
Ben Onu Çok Sevdim,Mehmet Aslantuğİdil FıratBirce AkalayŞemsi İnkayaRıza AkınErdinç GülenerMehmetcan MincinozluSavaş ZaferEge AydanKerem AlışıkDevrim Yakut,15,6,Televizyon dizisi,90,atv,Kerem Çatay,1,141,Pana Film,Raci Şaşmaz,10 Eylül 201324 Ocak 2014,Mehmet Bahadır ErEylem Koza,Türkiye
Benim Hala Umudum Var,Gizem KaracaBerk OktayŞükrü Özyıldız,33,8,Televizyon dizisi,90,Star TV (HD) (2013) FOX (HD) (2014),Deniz Akçay,1,69,Gold Film,Faruk Turgut,1 Temmuz 2013 - 25 Şubat 2014,Nisan Akman,Türkiye
Bir Aşk Hikayesi,Seçkin ÖzdemirDamla Sönmez,36,6,Televizyon dizisi,110,FOX (HD),Makbule KosifFunda ÇetinPınar UysalZehra Güleray,1,66,MF Yapım,Faruk BayhanFatih Aksoy,26 Mart 2013 - 14 Ocak 2014,Barış Yöş (1-22)Murat Onbul (23-36),Türkiye
Bizim Okul,Zeki Alasya Cezmi Baskın Levent Ülgen Pınar Aydın Tülin Oral Cem Davran,7,6,Televizyon dizisi,85,atv,Resul Ertaş,1,191,Erler Film,Türker İnanoğlu,2 Şubat 2013 - 23 Mart 2013,Yaşar Seriner,Türkiye
Çalıkuşu,Fahriye EvcenBurak Özçivit,30,6,Televizyon dizisi,100,Kanal D (HD),Sevgi Yılmaz,1,157,Tims Productions,Timur Savcı,24 Eylül 2013 - 17 Mayıs 2014,Çağan IrmakDoğan Ümit Karaca,Türkiye
Çocuklar Duymasın,Tamer KaradağlıPınar AltuğFurkan KızılayZeyno Günenç Volkan SevercanBengisu Özenel,160,6,Televizyon dizisi,120,FOX360 TV,Birol Güven,1,205,Ay Yapım,Birol Güven,2 Eylül 2013 - 30 Temmuz 2014,Bora Tekay,Türkiye
Doksanlar,Renan BilekGamze GözalanArif Erkin GüzelbeyoğluBeste BereketAtılay UluışıkAçelya AkkoyunErkan KöseEsra DermancıoğluDeniz OralDerya Şensoy,43,14,Televizyon dizisi,130,atv,Yıldız TunçSelin Tunç,1,199,MinT Motion Pictures,Birol Güven,26 Haziran 2013 - 27 Nisan 2014,Mesude Erarslan,Türkiye
Emret Komutanım Yeniden,Serdar ÖzerDidem RezeNaci TaşdöğenBilal Çatalçekiç,30,6,Televizyon dizisi,104,Kanaltürk,Alper Erze,1,33,Ay Yapım,Mehmet AltıoklarEmine Altıoklar,25 Şubat 2013 - 8 Nisan 2013,Sarp LevendoğluÜmit Efekan,Türkiye
Eski Hikaye,Buğra GülsoyFunda EryiğitMurat DaltabanDamla DebreSermet YeşilAli BarkınOsman AlkaşTayfun EraslanFerda IşılSongül SevdikSinan DemirerDiren PolatoğullarıMehmet EsenSedef Akalın,17,6,Televizyon Dizisi,100,TRT 1,Levent Cantek,1,81,ARC Film,Fatih Enes Ömeroğlu,2 Ekim 2013 - 12 Şubat 2014,Bahadır İnce,Türkiye
Fatih,Mehmet Âkif AlakurtGamze Özçelik Seda AkmanDağhan KülegeçHande SoralBirkan SokulluSalih BademciMüjde Uzmanİbrahim SelimFurkan Şentürk,5,14,Televizyon dizisi,104,Kanal D (HD),Pınar UysalFunda Çetin,1,164,Medyapım,Fatih Aksoy,30 Eylül 2013 - 4 Kasım 2013,Merve GirginFaruk Teber,Türkiye
Fatih Harbiye,Kadir DoğuluNeslihan AtagülYunus Emre Yıldırımer,50,6,Televizyon dizisi,120,FOX (HD) (2013) Show TV (2013-2014),Hayriye Ersöz,2,145,Koliba Film,Ata Türkoğlu,31 Ağustos 2013 - 10 Aralık 2014,Sadullah Celen,Türkiye
Fırıldak Ailesi,,21,4,Animasyon,10,Star TV (2013) grafi2000 Youtube kanalı (2013-2016) tv2 (2014-2014) TV8 (2015-2016),Haluk Can Dizdaroğlu,3,191,Grafi2000,Varol Yaşaroğlu,11 Şubat 201328 Aralık 2016,Ömer Sinir,Türkiye
Galip Derviş,Engin GünaydınAlgı EkeErsin KorkutOrhan Güner,56,6,Televizyon dizisi,70,Kanal D,Andy Breckman,3,210,Barakuda FilmNBC Universal,Ahmet KayımtuMahmut Kayımtu,21 Mart 2013 - 28 Aralık 2014,Barış PirhasanYusuf PirhasanÇağrı Bayrak,Türkiye
Gönül Hırsızı,Cem KılıçTuğçe Kazaz,19,6,Televizyon dizisi,120,TRT 1,Hasan KaçanBaykut BademFiliz EkinciAli Uğur Kaçan,1,264,Tekden Film,Mehmet BozdağMüslim Yılmaz,2 Aralık 2013 - 18 Nisan 2014,Ayhan ÖzenYahya Samancı,Türkiye
Güneşi Beklerken,Emre KınayHande DoğandemirKerem BürsinYağmur Tanrısevsinİsmail Ege ŞaşmazEbru Aykaç,54,6,Televizyon dizisi,120,Kanal D (HD),Gökhan Horzum (1-44) Deniz DargıRüya İşçileri (45-54),1,180,D Productions,Ayşe E. Durmaz,2 Temmuz 2013 - 27 Temmuz 2014,Altan Dönmez,Türkiye
Güldür Güldür Show,Ali SunalAlper KulDoğa RutkayErdem YenerOnur AtillaMahir İpekAylin KontenteMeltem YılmazkayaUğur BilginHasibe ErenAçelya TopaloğluAziz Aslan,357,3,Televizyon programı,135,FOX (HD) (2013) Show TV (HD) (2013-günümüz),Murat Kepez,12,302,BKM,Necati Akpınar,27 Şubat 2013 - günümüz,Meltem Bozoflu,Türkiye
Güzel Çirkin,Naz ElmasAli SunalCahit GökMihriban ErAli İpinNazan DiperMehmet ÇevikPamir PekinGözde TürkpençeKamil Güler,13,6,Televizyon dizisi,90,Kanal D (HD),Rüya İşçileri,1,237,Erler Film,İlker İnanoğlu,1 Temmuz 2013 - 23 Eylül 2013,Kemal Uzun,Türkiye
Her Şey Yolunda,İpek TuzcuoğluBülent AlkışAslıhan GünerBurçin AbdullahBora AkkaşGökhan AlkanAykut TaşkınBerk AtanArzu OruçBarış ÇelikkolEmre BüyükpınarFerzan HekimoğluMelisa TorosCezmi BaskınMurat AkkoyunluTuğçe Kurşunluoğlu,23,8,Televizyon dizisi,100,Show TV (HD),Caner Güler,1,247,Limon Film,Hayri Aslan,9 Nisan 2013 - 29 Eylül 2013,Ömer Uğur,Türkiye
İnadına Yaşamak,Sanem ÇelikOktay KaynarcaMurat Ünalmış,6,6,Televizyon dizisi,110,Kanal D,Serdar OğuzGökhan Zincir,1,145,Süreç Film,Ali Gündoğduİnci Gündoğdu,28 Kasım 20139 Ocak 2014,Serdar Akar,Türkiye
İntikam,Beren SaatNejat İşlerYiğit ÖzşenerMert Fırat,44,6,Televizyon dizisi,90,Kanal D (HD),Berkun Oya (1-30) Nuran Evren Şit (31-44),2,44,Ay Yapım,In D HouseDisney,3 Ocak 2013 - 20 Şubat 2014,Mesude Eraslan (1-22) Çağrı Vila Lostuvalı (23-44),Türkiye
Kaçak,Gürkan Uygun Hasan Küçükçetin İnanç Konukçu Berk Hakman Mustafa Avkıran Begüm Birgören Burak Deniz Metin Coşkun Yosi Mizrahi Haluk Bilginer Yağmur Tanrısevsin ve diğerleri,52,6,Televizyon dizisi,100,atv (HD),Zülküf Yücel,2,234,Süreç Film,Ali Gündoğdu,24 Eylül 2013 - 3 Şubat 2015,Volkan Kocatürk Serkan Birinci,Türkiye
Karagül,Ece UsluYavuz BingölÖzlem ConkerMesut AkustaOgün KaptanoğluHilal AltınbilekŞerif Sezer,125,6,Televizyon dizisi,130,FOX (HD),Sema ErgenekonEylem CanpolatPınar UysalFunda ÇetinErkan BirgörenBetül YağsağanBeril Köse Özlem YücelMert MeriçliHale ÇalapÖzlem Taşağal Yakıcı,4,127,Avşar Film,Şükrü Avşar,29 Mart 2013 - 10 Haziran 2016,Murat SaraçoğluGünay Günaydın,Türkiye
Kayıp,Mete Horozoğlu Aslı Enver İlker Kaleli Kaan Taşaner Dolunay Soysert,18,6,Televizyon dizisi,90,Kanal D (HD),Elif Usman,1,126,D Productions,Ayşe Durmaz,13 Eylül 2013 - 27 Ocak 2014,Zeynep Günay,Türkiye
Küçük Gelin,Çağla ŞimşekGözde MukavelatOrhan ŞimşekBengi Öztürk AkkayaArda EsenUfuk ŞenSema AybarsAli ÇakalgözArif SelçukEce OkayMelda AratDevrim AtmacaMelissa YıldırımerGökhan ŞahinYağmur KarBurcu YüceBurcu Adal KöseHelin Melike ÇalSabri ÖzmenerOnurcan KırşanTayfun SavEce BaykalElif Verit,92,14,Televizyon dizisi,105,Samanyolu TV,Erkan ÇıplakHale ÇalapAyça MutlugilTuba Altınışık BilirAlev Toprakoğlu,3,12,Ser Film,Murat KesginAdem Tan,8 Eylül 2013 - 8 Kasım 2015,Naci Çelik Berksoy,Türkiye
Medcezir,Çağatay UlusoySerenay Sarıkaya,77,6,Televizyon dizisi,100,Star TV (2013-2015),Ece YörençMelek Gençoğlu (1-9),2,186,Ay Yapım,Kerem Çatay,13 Eylül 2013 - 12 Haziran 2015,Ali BilginDeniz Yorulmazer,Türkiye
Merhamet,Özgü Namalİbrahim ÇelikkolMustafa ÜstündağBurçin TerzioğluYasemin Allen,44,6,Televizyon dizisi,95,Kanal D,Mahinur Ergun,2,81,Most Production,Gül Oğuz,13 Şubat 2013 - 12 Mart 2014,Çağatay Tosun,Türkiye
Osmanlı Tokadı,Uğur ÇavuşoğluAlper Kulİsmail HacıoğluVildan AtaseverEmir BenderlioğluMazhar AlansonBertan CeylanPelin Akil,37,6,Televizyon dizisi,104,TRT 1 (HD),Resul ErtaşOktay Berber,2,281,Ay Yapım,Duka Film,13 Nisan 2013 - 12 Nisan 2014,Mustafa Şevki Doğan,Türkiye
Saklı Kalan,Melis BirkanMuhammet Uzuner Meral Çetinkaya,3,14,Televizyon dizisi,104,Show TV,Funda Alp ve Tayfa,1,303,Esprit De Corps Production,Kemal Kurçer,19 Aralık 2013 - 2014,Mehmet Ada Öztekin,Türkiye
Salih Kuşu,Levent ÜlgenAyçin İnciGoncagül SunarBekir AksoyMurat Eken,10,6,Televizyon dizisi,100,Show TV,Gani Müjde,1,191,Süreç Film,Ali Gündoğdu,9 Mayıs 201318 Temmuz 2013,Ersoy Güler,Türkiye
Sana Bir Sır Vereceğim,Murat Han Esra Ronabar Ekin Koç Demet Özdemir,29,6,Televizyon dizisi,60,FOX,Ethem Özışık,1,6,Scor Films,Kerem Çatay,5 Temmuz 2013 - 2 Şubat 2014,Cevriye Demir Filiz Gülmez Pakman,Türkiye
Tatar Ramazan,Bülent İnalBurak YamantürkBurcu KaraÖzge ÖzpirinçciOsman SoykutUmut KaradağŞebnem HassanisoughiDemir KarahanAhmet MekinVedat ErincinAyla ArslancanNur SürerTürkü TuranUmut KurtVolga SorguTaner ÖlmezTugay MercanSezai AltekinMehmet Ali NuroğluSaygın SoysalCemal HünalEmre MelemezHikmet KaragözveTurgay KantürkKanbolat Görkem ArslanSerdal GençKadim YaşarErol GedikGörkem TürkeşBekir Hakan ÜnverdiHasan SayRecep YenerTamer YiğitHande Erçel,26,6,Televizyon dizisi,85,atv (HD),Can Sinan,2,117,TMC Film,Erol Avcı,26 Nisan 2013 - 26 Ocak 2014,Cevdet Mercan,Türkiye
Acayip Hikayeler,Serinin herhangi bir filminde rol alan oyuncularHaluk BilginerŞevval SamAltan ErkekliBegüm AkkayaCem ÖzerFatih DönmezIrmak ÜnalKaan UrgancıoğluTamer KaradağlıGülşah ŞahinLevent ÜzümcüYeşim Büberİdil FıratJess MolhoSermet YeşilAyşegül AkdemirBeril KayarAyla ArslancanFerdi SancarBülent PolatMurat ÇekemÖzlem Tekin,11,14,Televizyon dizisi,42,Star TV (HD),Galip TekinSeyfi Şahin,1,177,Acayip Medya,Metin Kalkavan,13 Nisan 201222 Haziran 2012,Soykut TuranVeli ÇelikMustafa Altıoklar,Türkiye
Adını Feriha Koydum: Emir'in Yolu,Çağatay UlusoyGizem KaracaFurkan AndıçYusuf AkgünZeynep ÇamcıMetin ÇekmezDeniz UğurAhu SungurSedef Şahin,13,14,Televizyon dizisi,104,Show TV (2012) teve2 (Tekrar),Melis CivelekSırma Yanık,1,81,Medyapım,Fatih Aksoy,7 Eylül 2012 - 17 Kasım 2012,Barış Yöş,Türkiye
Ağır Roman Yeni Dünya,Onur SaylakNesrin CavadzadeMacit KoperSumru YavrucukMurat DaltabanÖzge ÖzpirinçciTamer TıraşoğluErkan BektaşBegüm Birgören,10,6,Televizyon dizisi,90,Star TV (HD),Yıldız Tunç,1,81,Tims Productions,Timur Savcı,27 Eylül 2012 - 13 Aralık 2012,Metin Balekoğlu,Türkiye
Benim İçin Üzülme,Fulya ZenginerTansel ÖngelÇağlar ErtuğrulÖykü ÇelikRana CabbarBeyazıt Gülercan,55,6,Televizyon dizisi,90,atv (2012-2013) Show TV (2013-2014),Onur Kocal Selami Genli,2,81,Boyut Film,Murat TokatMahsun Kırmızıgül,6 Kasım 2012 - 29 Nisan 2014,Serkan Birinci,Türkiye
Böyle Bitmesin,Yeliz Kuvancı Nergis Öztürk Cemal Toktaş,69,6,Televizyon dizisi,104,TRT 1 (HD),Necati Şahin,2,139,AT Yapım,Atalay Taşdiken,21 Eylül 2012 - 6 Haziran 2014,Emre Kabakuşak,Türkiye
Dila Hanım,Erkan PetekkayaHatice ŞendilMahir GünşirayHülya DarcanNecip MemiliYonca CevherEmre MelemezGörkem Mertsöz,62,6,Televizyon dizisi,90,Star TV (HD) (2012-2013) Show TV (HD) (2013-2014),Zülküf Yücel,2,69,Gold Film,Faruk Turgut,14 Eylül 2012 - 25 Nisan 2014,Onur Tan (2012)Aydın Bulut (2012-2013) Nihat Durak (2013-2014)Adnan Güler (2014),Türkiye
Düşman Kardeşler,Tarık PapuççuoğluMurat EkenKaan UrgancıoğluOya AydoğanHande SubaşıBurcu Biricik,11,6,Televizyon dizisi,104,Show TV,Kerem Çatay,1,191,Sinetel Film,Mustafa Şevki Doğan,5 Temmuz 2012 - 17 Eylül 2012,Semra Dündar,Türkiye
Esir Şehrin Gözyaşları - Bir Ferhat ile Şirin Hikayesi,Yiğit ÖzşenerSedef Avcı,5,6,Televizyon dizisi,90,FOX,Sevgi Yılmaz,1,157,Koliba Film,Ata Türkoğlu,28 Eylül 2012 - 31 Ekim 2012,Çağatay Tosun,Türkiye
Eve Düşen Yıldırım,Murat HanGizem KaracaSeda AkmanMehmetcan MincinozluBurcu Tuna,22,6,Televizyon dizisi,104,Show TV,Meryem Gül,2,81,Medyapım,Fatih Aksoy,9 Mart 2012 - 15 Ekim 2012,Feride Kaytan,Türkiye
Evlerden Biri,Ceyda AteşÖzgür Çevik Barış AytaçŞemsi İnkaya,13,6,Televizyon dizisi,90,Star TV (HD),Hakan HaksunMüjdan Kayserli,1,81,Koliba Film,Ata Türkoğlu,1 Ağustos 2012 - 29 Ekim 2012,Bahadır İnce,Türkiye
Harem,Levent ÜzümcüNurseli İdizBelma CanciğerBaşak SayanÇiçek DilligilDuygu ŞenZuhal YalçınÖnder AçıkbaşMehmet Ali ErbilSerhan ArslanGamze KaramanÖmür ÖzdemirHande Katipoğlu,32,6,Televizyon dizisi,90,FOX (HD),Gani Müjde,1,274,Tükenmezkalem Film,Gani Müjde,30 Eylül 201217 Haziran 2013,Süleyman Seçik,Türkiye
Hayatımın Rolü,Haluk BilginerEbru ÖzkanBekir AksoyEbru Aykaçİlhan Şeşen,19,6,Televizyon dizisi,104,Star TV,Gamze Özer,1,13,Süreç Film,Ali GündoğduAli Kırhan Gündoğdu,9 Temmuz 2012 - 10 Aralık 2012,Sadullah CelenHakan Arslan,Türkiye
Huzur Sokağı,Selin DemiratarAhmet Kutsi KaradoğanGüven HoknaSinem ÖztürkGökhan MeteYeşim Salkım,67,6,Televizyon dizisi,90,atv (HD),Kerem Çatay,2,81,Set Film (2012-2013) atv İç Yapımlar (2013-2014),Kerem Çatay,7 Eylül 2012 - 18 Nisan 2014,Şenol Sönmez,Türkiye
İbret-i Ailem,Müjdat Gezen Şebnem Sönmez Zafer Algöz,8,6,Televizyon dizisi,104,Star TV,Murat Emre KamanEmrah Kaman,1,191,NTC Medya,Mehmet Yiğit Alp,27 Haziran 2012 - 26 Ağustos 2012,Ömer Uğur,Türkiye
İki Dünya Arasında,İnanç Ömer BenlioğluBaşak ZebilSevinç KumaşGökben Derviş,705,14,Televizyon dizisi,105,Samanyolu TV,Erkan Çıplak,4,104,Ser Film,Murat Kesgin,2 Temmuz 2012 - 13 Kasım 2015,Fatih DerinMuhammet Gök,Türkiye
İşler Güçler,Ahmet KuralMurat Cemcir Sadi Celil Cengiz,41,6,Televizyon dizisi,75,Star TV (HD),Selçuk Aydemir Osman Edip Tekin Onay Durgun,1,191,Limon Film,Hayri Aslan,28 Haziran 2012 - 4 Haziran 2013,Selçuk Aydemir,Türkiye
Karadayı,Kenan İmirzalıoğluBergüzar KorelÇetin Tekindor Yurdaer Okur,115,6,Televizyon dizisi,130,atv (HD),Sema ErgenekonEylem Canpolat,3,41,Ay Yapım,Kerem Çatay,8 Ekim 2012 - 15 Haziran 2015,Uluç BayraktarCem Karcı,Türkiye
Kayıp Şehir,Gökçe BahadırNik Xhelilajİlker KaleliNazan KesalUğur PolatCansu Tosun Tugay MercanAhmet MekinAyta Sözeri,26,6,Televizyon dizisi,120,Kanal D (HD) (2012-2013),Yıldırım TürkerMurat UyurkulakSeray ŞahinerTuğrul Eryılmaz,1,125,D Productions,Ayşe Durmaz,14 Eylül 2012 - 25 Mart 2013,Cevdet MercanOsman Taşcı,Türkiye
Kötü Yol,Cansel ElçinŞükran Ovalıİlker Aksum,13,8,Televizyon dizisi,90,Kanal D (HD),Kerem Çatay,1,157,Gold Film,Faruk Turgut,26 Temmuz 2012 - 6 Kasım 2012,Nisan Akman,Türkiye
Kurt Kanunu,Ümit AcarAli BaşarPelin AkilBahar Kerimoğluİlker Kızmaz,18,6,Televizyon dizisi,75,TRT 1,Selma ÇergelAyşegül HacıosmanoğluMediha Polat,1,290,Pana Film,Kerem Çatay,7 Şubat 2012 - 7 Haziran 2012,Yasin Uslu,Türkiye
Küçük Kıyamet,Emrah Girgin Reha Yeprem,78,6,Televizyon dizisi,104,Samanyolu TV,Kerem Çatay,2,159,Ay Yapım,Melih Sezgin,13 Aralık 2012 - 30 Ocak 2015,Hasan Kıraç,Türkiye
Merhaba Hayat,Vahide PerçinYetkin Dikinciler,13,6,Televizyon dizisi,90,FOX (HD),Kerem Çatay,1,225,Medyapım,Kerem Çatay,9 Ekim 2012 - 13 Şubat 2013,Hülya Bilban,Türkiye
Seksenler,Özlem TürkadŞoray UzunAyşe Tolgaİlker AyrıkZeynep SeverEski başrollerRasim ÖztekinYasemin BaştanSerhat KılıçCeyhun Fersoy,655,6,Televizyon dizisi,120,TRT 1Beyaz TV (tekrar),Murat ArasBirol GüvenEray Yasin IşıkDeniz Gök,10,275,MinT Motion Pictures,Birol Güven,24 Ocak 2012 - 10 Haziran 2022,"Birol Güven(2012)Müfit Can Saçıntı(2012-2016)Bora Tekay(2016-2017, 2019-2021, 2022)Mustafa Uğur Yağcıoğlu(2021-2022)",Türkiye
Son,Engin Altan DüzyatanNehir ErdoğanErkan CanBerrak TüzünataçYiğit Özşener,25,6,Televizyon dizisi,90,atv (HD),Berkun Oya,1,81,Ay Yapım,Kerem Çatay,9 Ocak 2012 - 25 Haziran 2012,Uluç Bayraktar,Türkiye
Sultan,Nurgül Yeşilçay Şahin Irmak Merve AltınkayaNur SürerSettar Tanrıöğen Hande DaneSeray Gözler Hüseyin Karaca Orhan Şimşek Orhan Güner,20,6,Televizyon dizisi,104,Kanal D (HD),Yıldız Bayazıt Seray Şahiner,1,92,Ay Yapım,Cengiz Keten,28 Mayıs 2012,Azime KanalŞengül Halat,Türkiye
Suskunlar,Murat YıldırımSarp AkkayaGüven Murat AkpınarAslı Enver Berk HakmanPelin Akil,28,6,Televizyon dizisi,90,Show TV (2012),Pınar Bulut (1-28) Anıl Eke (17-28),2,125,Tims Productions,Timur Savcı,1 Mart 2012 - 2 Aralık 2012,Umur Turagay (1) Çağatay Tosun (2-16) Çağrı Vila Lostuvalı (17-28)Hatice Memiş (17-28),Türkiye
Şubat,Alican YücesoyMelisa SözenMusa UzunlarSerkan ErcanÖzkan Uğur,32,6,Televizyon dizisi,100,TRT 1,Funda Alp,1,81,Ay Yapım,Orkun ÜnlüFunda Alp,14 Eylül 2012 - 30 Mayıs 2013,Volkan Kocatürk,Türkiye
Ustura Kemal,Oktay KaynarcaNaz ElmasEmre Kınay,14,8,Televizyon dizisi,90,Show TV (HD),Baykut BademFiliz Ekinci,1,156,Süreç Film,Ali Gündoğduİnci Gündoğdu,4 Eylül 2012 - 8 Aralık 2012,Mustafa Şevki Doğan,Türkiye
Veda,Mehmet AslantuğFahriye EvcenMaral ÜnerJale ArıkanSevda ErginciAhmet Tansu Taşanlar,8,14,Televizyon dizisi,90,Kanal D (HD),Sündüz Haşar,1,158,Medyapım,Fatih Aksoy,27 Eylül 2012 - 23 Kasım 2012,Merve Girgin,Türkiye
Yalan Dünya,Altan Erkekli Füsun Demirel Olgun ŞimşekBeyazıt ÖztürkGülse Birsel Hasibe ErenSarp ApakÖner Erkan,90,14,Televizyon dizisi,120,Kanal D (HD) teve2 (Tekrar),Gülse Birsel,4,203,D Productions,Ayşe E. Durmaz,13 Ocak 201219 Kasım 2014,Jale Atabey Özberk,Türkiye
Zengin Kız Fakir Oğlan,Hüseyin Avni DanyalAyda AkselUfuk ÖzkanEcem ÖzkayaMahir İpekGözde OkurKemal KuruçayŞeyla HalisFerdi AkarnurZerrin EpikmenKıvanç Baran Arslan,136,6,Televizyon dizisi,110,TRT 1 (HD) (2012-2015)FOX (HD) (2015),Birol Güven (1-136.Bölüm) Yaşar Arak (1-136.Bölüm) Caner Güler (1-136.Bölüm) Metin Açıkgöz (1-90.Bölüm),4,23,Mint Prodüksiyon,Birol Güven,30 Ağustos 2012 - 28 Ağustos 2015,Hasan Tolga Pulat,Türkiye
Adını Feriha Koydum,Vahide PerçinHazal KayaÇağatay Ulusoy Metin ÇekmezDeniz UğurYusuf AkgünCeyda AteşBarış Kılıç,67,6,Televizyon dizisi,120,Show TV (HD)teve2 (HD)-10 Ekim 2016-günümüz (Tekrar yayını),Melis CivelekSırma Yanık,2,69,Medyapım,Fatih Aksoy,14 Ocak 2011 - 29 Haziran 2012,Merve GirginNeslihan Yeşilyurt,Türkiye
Al Yazmalım,Seçkin ÖzdemirÖzge ÖzpirinçciBarış FalayNesrin CavadzadeSaygın SoysalAhmet SaraçoğluGözde KansuZeynep EronatMacit Koper,37,6,Televizyon dizisi,90,atv (HD),Mahinur Ergun,1,66,Ay Yapım,Kerem Çatay,12 Eylül 2011 - 5 Haziran 2012,Ali Bilgin,Türkiye
Aşağı Yukarı Yemişlililer,Şahin Irmak - Sülo Bülent Emrah Parlak - Mikail Murat Eken - Serhat Büşra Pekin - Menekşe Gülhan Tekin - Emine Burcu Gönder - Handan,10,7,Televizyon dizisi,90,atv,Gülhan Tekin Şahin Irmak Bülent Emrah Parlak Murat Eken Büşra Pekin,1,191,BKM Mutfak,Şahin Altuğ,10 Ağustos 2011 - 16 Ekim 2011,Şahin Altuğ,Türkiye
Avrupa Avrupa,Tarık ÜnlüoğluSelen SeyvenBurak Serdar ŞanalBahar SüerZuhal TopalŞehsuvar AktaşKadir ÇöpdemirGünay KaracaoğluAhmet SaraçoğluDurukan Çelikkaya,91,6,Televizyon dizisi,100,TRT 1,Fethi KantarcıSaygın DelibaşBarkın Şenüren,3,274,Mia Yapım,Banu Akdeniz,25 Eylül 2011 - 27 Kasım 2013,Cevriye Demir,Türkiye
Beni Affet,Nusret ŞenayUlviye KaracaGaye Turgut EvinMert AltınışıkŞeyma KorkmazMurat DanacıCeren Yalazoğlu Karakoçİlkay Kayku AtalayZeynep YasaZeynep Aytek MetinOkan ŞenozanDeniz EvinSaim Karakale Mithat Erdemli Tolga Akman Aleyna Eroğlu Can Arpacı Gökberk Yıldırım,1477,6,Televizyon dizisi,40,Show TV (2011-2012)Star TV (HD) (2012-2018) 2M TV-Fas (2013-2019),Vural BalıkçıBaran YıldırımAyşem Özge YoldaşMerve AteşoğluGökçen EroğluAyşegül BostancıTolga DemirUtku DumanKıvanç EkşioğluVolkan Egemen Kara,8,11,Focus Film,Nilgün Sağyaşar,17 Ekim 2011 - 28 Aralık 2018,Gürsel AteşMihriban ŞahinBergüzar Demiroğlu,Türkiye
Bir Çocuk Sevdim,Bülent İnalÇetin TekindorHakan KurtaşGülcan Arslan,39,14,Televizyon dizisi,120,Kanal D (HD) (2011) Star TV (2012),Gaye BoralıoğluFigen ŞakacıÜmit Kıvanç,1,104,TMC,Timur Savcı,9 Eylül 2011 - 18 Haziran 2012,Cevdet MercanMurat Düzgünoğlu,Türkiye
Canan,Gamze ÖzçelikÖzlem ConkerRagıp SavaşErdinç GülenerNeriman UğurMehmet Atay,28,6,Televizyon dizisi,100,FOX,Orçun OkşarMert MeriçliNilüfer Zeynep ÖzçelikYelda Eroğlu,2,81,Koliba Film,Ata Türkoğlu,9 Şubat 2011 - 19 Ekim 2011,Bahadır İnce,Türkiye
Dedektif Memoli,Emre Kızılırmak (Memoli)Burcu Esmersoy (Zeynep)Özlem Yılmaz (Ezo)Demir KarahanÜnal YeterBarış Başar,12,14,Televizyon dizisi,90,TNT (2011),Tayfun Güneyer,1,248,Süreç Film,Ali Gündoğdu,30 Eylül 2011 - 23 Aralık 2011,Tayfun Güneyer,Türkiye
Dinle Sevgili,Cem Kılıç,245,6,Televizyon dizisi,60,FOX,Nermin Yıldırım,2,113,Base Yapım,Kerem Çatay,20 Haziran 2011 - 28 Eylül 2012,Neslihan Yeşilyurt,Türkiye
Firar,Caner CindorukDidem Balçınİsmail HacıoğluEngin ŞenkanEce ÇeşmioğluEda ÖzerkanLila GürmenHaldun BoysanŞafak PakdemirYavuz ÇetinOsman AkçaEser KarabilBeyza ŞekerciNecip Memili,35,6,Televizyon dizisi,124,Star TV (HD),Ozan Yurdukul,1,34,Koliba Film,Ata Türkoğlu,16 Eylül 2011 - 12 Haziran 2012,Cemal Şan,Türkiye
Hayat Devam Ediyor,Fikret KuşkanArif Erkin GüzelbeyoğluMeltem MiraloğluŞenay GürlerRozet HubeşOnur TunaNeslihan AtagülRana CabbarSera TokdemirSerkan ŞenalpAli BarkınÇağla Şimşek,46,6,Televizyon dizisi,120,atv (2011-2013),Bekir Baran SıtkıEsen Ali BilenIşın Yavuz ÖzvarnaNeşe CehizPervin Okur[1],2,81,Boyut Film,Murat Tokat[2],18 Kasım 2011 - 20 Ocak 2013,Cemal ŞanMahsun KırmızıgülYıldız Hülya BilbanLevent Türkan,Türkiye
İffet,Deniz Çakırİbrahim ÇelikkolMahir Günşiray,40,6,Televizyon dizisi,90,Star TV (HD),Can Sinan,2,157,Gold Film,Faruk Turgut,17 Eylül 2011 - 24 Eylül 2012,Faruk Teber,Türkiye
İzmir Çetesi,Kadir İnanırKenan EceMustafa Üstündağ,16,6,Televizyon dizisi,90,Star TV (HD),Alican Yaraş,1,191,Pastel Film,Yaşar İrvül,26 Şubat 2011 - 10 Haziran 2011,Murat Şeker (1-5) Yıldız Hülya Bilban (6-16),Türkiye
Keşanlı Ali Destanı,Nejat İşlerBelçim Bilgin,20,6,Televizyon dizisi,110,Kanal D,Özen YulaZeynep Özlem HavuzluHale Aksu Engin,1,171,D Productions,Kerem Çatay,10 Aralık 2011 - 5 Mayıs 2012,Çağan Irmak,Türkiye
